model,batch,batch_size,loss_total,loss_classification_ce,loss_denoise_mse,loss_denoised_ce,clean_batch_acc,grad_clip_threshold,raw_grad_total,raw_grad_stem_and_cnn_encoder,raw_grad_temporal_backbone,raw_grad_pool_and_embedding,raw_grad_classifier,raw_grad_denoise_branch,clipped_grad_total,clipped_grad_stem_and_cnn_encoder,clipped_grad_temporal_backbone,clipped_grad_pool_and_embedding,clipped_grad_classifier,clipped_grad_denoise_branch
cnn,14,64,0.7848451733589172,0.5543327927589417,0.5293115377426147,0.8349749445915222,0.953125,3.0,1.4566800468254408,1.053190608406002,0.7363070472343637,0.392564186032895,0.5306830190207464,0.18662027367125153,1.4566800468254408,1.053190608406002,0.7363070472343637,0.392564186032895,0.5306830190207464,0.18662027367125153
cnn,15,64,0.754104733467102,0.5238542556762695,0.5516529083251953,0.820260763168335,0.96875,3.0,1.1374630975699542,0.6893092506039787,0.6957648380779089,0.3383666652734183,0.4330065668939014,0.1805537546498038,1.1374630975699542,0.6893092506039787,0.6957648380779089,0.3383666652734183,0.4330065668939014,0.1805537546498038
cnn,16,64,0.7092652916908264,0.49351853132247925,0.5199635028839111,0.7667555212974548,0.984375,3.0,0.817836609539315,0.5264331040433066,0.45127124028452664,0.24633340996398734,0.3166575261527912,0.16470287437827144,0.817836609539315,0.5264331040433066,0.45127124028452664,0.24633340996398734,0.3166575261527912,0.16470287437827144
cnn,17,64,0.6988965272903442,0.4785217046737671,0.5363318920135498,0.7800748348236084,1.0,3.0,0.7848403940575014,0.573315142353989,0.4060161320399697,0.1626025146848013,0.26885824647795054,0.15398297871596683,0.7848403940575014,0.573315142353989,0.4060161320399697,0.1626025146848013,0.26885824647795054,0.15398297871596683
cnn,18,64,0.7740952372550964,0.4933132529258728,0.5876507759094238,1.0513195991516113,0.984375,3.0,1.4453954199638746,1.1116416095005148,0.7497731899369763,0.33415294595359796,0.3775822571991759,0.19244340334313384,1.4453954199638746,1.1116416095005148,0.7497731899369763,0.33415294595359796,0.3775822571991759,0.19244340334313384
cnn,19,64,0.7611316442489624,0.519929051399231,0.5016582012176514,0.9050180315971375,0.953125,3.0,1.1556617996869452,0.8327816144495268,0.5290961085748562,0.29909946012397076,0.48767825766895934,0.18653609766468898,1.1556617996869452,0.8327816144495268,0.5290961085748562,0.29909946012397076,0.48767825766895934,0.18653609766468898
cnn,20,64,0.8369241952896118,0.6153310537338257,0.5333606004714966,0.7879493832588196,0.921875,3.0,1.7888509267543542,1.4000394469011062,0.8693706658139035,0.43711460539140784,0.5136129006929996,0.1708930679936556,1.7888509267543542,1.4000394469011062,0.8693706658139035,0.43711460539140784,0.5136129006929996,0.1708930679936556
cnn,21,64,0.7452105283737183,0.5101121068000793,0.5968316793441772,0.8173931837081909,0.96875,3.0,1.4708417057463632,1.1324956536747492,0.7721622998392036,0.32356272033611333,0.39272369982188815,0.1602172340436806,1.4708417057463632,1.1324956536747492,0.7721622998392036,0.32356272033611333,0.39272369982188815,0.1602172340436806
cnn,22,64,0.7720411419868469,0.5296899676322937,0.5672745108604431,0.8713911771774292,0.953125,3.0,1.3454980858425518,0.9439615856941725,0.6744673468519533,0.35447721658479436,0.5550753040624582,0.17502208864159938,1.3454980858425518,0.9439615856941725,0.6744673468519533,0.35447721658479436,0.5550753040624582,0.17502208864159938
cnn,23,64,0.7423617243766785,0.4942869544029236,0.5590509176254272,0.9049433469772339,1.0,3.0,0.7199400400606398,0.48044931457332274,0.3275520514275219,0.203196885669266,0.32590000764357757,0.1808092411531816,0.7199400400606398,0.48044931457332274,0.3275520514275219,0.203196885669266,0.32590000764357757,0.1808092411531816
